id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat,chair
0,ラ クラス店 | オーバカナル・ブラッスリー,神奈川県,横浜市,港北区新横浜２-１００-４５キュービックプラザ新横浜１０Ｆ,新横浜駅徒歩1分以上,045-478-7020,"平日:11:00 - 23:00
土曜日:11:00 - 23:00
日祝:11:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/03005912/,FALSE,FALSE,FALSE,FALSE,35.5077607,139.6172015,"72席
(禁煙:72/喫煙:0)"
1,紀尾井町店 | オーバカナル,東京都,千代田区,紀尾井町４-１新紀尾井町ビル１Ｆ,赤坂見附駅徒歩5分以上,03-5276-3422,"平日:10:00 - 23:00
土曜日:10:00 - 23:00
日祝:10:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03005906/,FALSE,FALSE,TRUE,FALSE,35.68117,139.734946,"118席
(禁煙:90/喫煙:28)"
2,京都店 | オーバカナル,京都,府京都市,下京区烏丸通四条下ル水銀屋町６２０番地ＣＯＣＯＮ烏丸１Ｆ,烏丸駅徒歩3分以内,075-371-0033,"平日:11:00 - 23:00
土曜日:11:00 - 23:00
日祝:11:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03005907/,FALSE,FALSE,TRUE,FALSE,35.00306,135.7592211,"76席
(禁煙:52/喫煙:24)"
3,高輪店 | オーバカナル,東京都,港区,高輪４-１０-８京急第７ビル１Ｆ,品川駅徒歩1分以上,03-5798-7070,"平日:10:00 - 23:00
土曜日:09:00 - 23:00
日祝:09:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/03005910/,FALSE,FALSE,TRUE,FALSE,35.6289116,139.7355846,"162席
(禁煙:138/喫煙:24)"
4,高輪店ブーランジェリー | オーバカナル,東京都,港区,高輪４-１０-８京急第７ビル１Ｆ,品川駅徒歩1分以上,03-5798-7070,"平日:10:00 - 23:00
土曜日:09:00 - 23:00
日祝:09:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/03005911/,FALSE,FALSE,FALSE,FALSE,35.6289116,139.7355846,
5,赤坂店 | オーバカナル,東京都,港区,赤坂１-１２-３２アーク森ビル２Ｆ,六本木一丁目駅徒歩3分以上,03-3582-2225,"平日:10:00 - 23:00
土曜日:10:00 - 23:00
日祝:11:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03005901/,FALSE,FALSE,TRUE,FALSE,35.6671134,139.740135,"138席
(禁煙:90/喫煙:48)"
6,赤坂店ブーランジェリー | オーバカナル,東京都,港区,赤坂１-１２-３２アーク森ビル２Ｆ,六本木一丁目駅徒歩3分以上,03-3582-2225,"平日:08:00 - 19:30
土曜日:10:00 - 19:30
日祝:10:00 - 19:30",http://sasp.mapion.co.jp/b/doutor/info/03005904/,FALSE,FALSE,FALSE,FALSE,35.6671134,139.740135,
7,梅田店 | オーバカナル,大阪府,大阪市,北区大深町４-２０グランフロント大阪南館１Ｆ,大阪駅徒歩3分以上,06-6359-2722,"平日:09:00 - 23:00
土曜日:09:00 - 23:00
日祝:09:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/03005915/,FALSE,FALSE,TRUE,FALSE,34.7041138,135.494703,"56席
(禁煙:50/喫煙:6)"
8,博多店 | オーバカナル,福岡県,福岡市,中央区天神１-４-１福岡天神大丸１Ｆ,天神南駅徒歩3分以内,092-762-7373,"平日:10:00 - 22:00
土曜日:10:00 - 22:00
日祝:10:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03005903/,FALSE,FALSE,TRUE,FALSE,33.5885535,130.4014686,"50席
(禁煙:22/喫煙:28)"
9,天神店 | ラスールオーバカナル,福岡県,福岡市,中央区天神２-２-４３ソラリアプラザ１Ｆ,西鉄福岡駅徒歩2分以上,092-733-7670,"平日:10:00 - 22:00
土曜日:10:00 - 22:00
日祝:10:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03005918/,TRUE,FALSE,FALSE,FALSE,33.5887919,130.3988578,"77席
(禁煙:77/喫煙:0)"
10,名古屋ミッドランドスクエア店 | ラスールオーバカナル,愛知県,名古屋市,中村区名駅４-７-１ミッドランドスクエアＢ１０８区画,名鉄名古屋駅徒歩1分以上,052-562-2251,"平日:11:00 - 23:00
土曜日:11:00 - 23:00
日祝:11:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/03005917/,TRUE,FALSE,FALSE,FALSE,35.1700946,136.885194,"66席
(禁煙:66/喫煙:0)"